Sample	File	Sex	Treatment
osteocyte_young_1	ERR1514446	female	osteocyte_young
osteocyte_young_2	ERR1514455	female	osteocyte_young
osteocyte_young_3	ERR1514466	female	osteocyte_young
osteocyte_young_4	ERR1514470	male	osteocyte_young
osteocyte_old_1	ERR1514471	male	osteocyte_old
osteocyte_old_2	ERR1514472	male	osteocyte_old
osteocyte_old_3	ERR1514473	male	osteocyte_old
osteocyte_old_4	ERR1514474	male	osteocyte_old
chondrocyte_young_1	ERR1514475	female	chondrocyte_young
chondrocyte_young_2	ERR1514447	female	chondrocyte_young
chondrocyte_young_3	ERR1514448	female	chondrocyte_young
chondrocyte_old_1	ERR1514449	male	chondrocyte_old
chondrocyte_old_2	ERR1514450	male	chondrocyte_old
chondrocyte_old_3	ERR1514451	male	chondrocyte_old
tendon_young_1	ERR1514452	female	tendon_young
tendon_young_2	ERR1514453	female	tendon_young
tendon_young_3	ERR1514454	female	tendon_young
tendon_young_4	ERR1514456	male	tendon_young
tendon_old_1	ERR1514457	male	tendon_old
tendon_old_2	ERR1514458	male	tendon_old
tendon_old_3	ERR1514459	male	tendon_old
tendon_old_4	ERR1514460	male	tendon_old
msc_young_1	ERR1514461	female	msc_young
msc_young_2	ERR1514462	female	msc_young
msc_young_3	ERR1514463	female	msc_young
msc_young_4	ERR1514464	male	msc_young
msc_old_1	ERR1514465	male	msc_old
msc_old_2	ERR1514467	male	msc_old
msc_old_3	ERR1514468	male	msc_old
msc_old_4	ERR1514469	male	msc_old
